FW_ID,Ecosystem,Location,Latitude_DD,Longitude_DD
FW_079,Aquatic,Antarctic Region,-71.9167,5.16667
FW_080,Aquatic,Antarctic Region,-71.9167,5.16667
FW_081,Aquatic,Antarctic Region,-66.65,140
FW_082,Aquatic,East Asia,34.0833,118.1833
FW_083,Aquatic,Arctic Region,74.9883,37.1063
FW_084,Aquatic,North America,74.7009,-94.9947
FW_085,Aquatic,North America,74.6868,-94.9393
FW_086,Aquatic,North America,74.7009,-94.9947
FW_087,Aquatic,North America,74.7009,-94.9947
FW_088,Aquatic,North America,74.7009,-94.9947
FW_089,Aquatic,North America,74.7009,-94.9947
FW_090,Aquatic,Europe,51.2213,4.4051
FW_091,Aquatic,East Asia,23.9321,117.428
FW_092,Aquatic,East Asia,23.9321,117.428
FW_093,Aquatic,North America,42.4666,-79.7333
FW_094,Aquatic,North America,41.5666,82.9
FW_095,Terrestrial,Europe,58.9909,9.4863
FW_096,Aquatic,North America,40.7368,-74.1441
FW_097,Aquatic,East Asia,37.2589,119.6875
FW_098,Aquatic,East Asia,31.4771,120.142
FW_099,Aquatic,Europe,49.4347,0.2893
FW_100,Aquatic,Europe,51.4526,3.1139
FW_101,Aquatic,Europe,51.4526,3.1139
FW_102,Aquatic,Europe,51.4526,3.1139
FW_103,Aquatic,Europe,51.4526,3.1139
FW_104,Aquatic,Europe,56.2546,15.2667
FW_105,Aquatic,Europe,56.2546,15.2667
FW_106,Aquatic,Europe,59.1148,15.2691
FW_107,Terrestrial,Europe,59.1148,15.2691
FW_109,Aquatic,East Asia,39.9076,116.5248
FW_110,Aquatic,East Asia,39.9076,116.5248
FW_111,Aquatic,East Asia,38.8495,119.7889
FW_112,Aquatic,Europe,51.2264,2.7789
FW_113,Aquatic,East Asia,31.3743,118.3407
FW_114,Aquatic,East Asia,33.0377,130.4359
FW_115,Terrestrial,North America,49.2827,123.1207
FW_116,Terrestrial,North America,49.2827,123.1207
FW_117,Terrestrial,North America,49.2827,123.1207
FW_118,Terrestrial,North America,49.2827,123.1207
FW_119,Terrestrial,North America,49.1666,123.1336
FW_120,Terrestrial,North America,49.0901,123.082
FW_121,Terrestrial,North America,49.2827,123.1207
FW_122,Aquatic,Mediterranean Region,38.2864,15.8026
FW_123,Aquatic,East Asia,15.4881,114.4048
FW_124,Terrestrial,East Asia,36.0519,127.3502
FW_125,Terrestrial,North America,33.8361,81.1637
FW_126,Terrestrial,East Asia,29.1451,116.1832
