"","PFAS","food_web","species","Study_ID","filename","note","TL_mean","PFUnDA_mean","PFOS_mean","PFNA_mean","PFDA_mean","PFDoDA_mean","log_PFDA_mean","log_PFDoDA_mean","log_PFNA_mean","log_PFOS_mean","log_PFUnDA_mean"
"11","PFDA","food web 1","species 19","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,NA,NA,2.5,NA,0.397940008672038,NA,NA,NA,NA
"12","PFDA","food web 1","species 2","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.1,NA,NA,NA,0.58,NA,-0.236572006437063,NA,NA,NA,NA
"13","PFDA","food web 1","species 20","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5,NA,NA,NA,0.54,NA,-0.267606240177031,NA,NA,NA,NA
"14","PFDA","food web 1","species 3","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.4,NA,NA,NA,0.78,NA,-0.10790539730952,NA,NA,NA,NA
"15","PFDA","food web 1","species 4","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.5,NA,NA,NA,0.46,NA,-0.337242168318426,NA,NA,NA,NA
"16","PFDA","food web 1","species 5","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.2,NA,NA,NA,1.4,NA,0.146128035678238,NA,NA,NA,NA
"17","PFDA","food web 1","species 6","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,NA,NA,0.64,NA,-0.193820026016113,NA,NA,NA,NA
"18","PFDA","food web 1","species 7","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.8,NA,NA,NA,1.1,NA,0.0413926851582251,NA,NA,NA,NA
"19","PFDA","food web 1","species 8","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5,NA,NA,NA,1.8,NA,0.255272505103306,NA,NA,NA,NA
"20","PFDA","food web 1","species 9","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.6,NA,NA,NA,0.41,NA,-0.387216143280265,NA,NA,NA,NA
"21","PFDoDA","food web 1","species 1","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",2.5,NA,NA,NA,NA,0.34,NA,-0.468521082957745,NA,NA,NA
"22","PFDoDA","food web 1","species 10","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,NA,NA,NA,2.6,NA,0.414973347970818,NA,NA,NA
"23","PFDoDA","food web 1","species 11","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.7,NA,NA,NA,NA,0.61,NA,-0.214670164989233,NA,NA,NA
"24","PFDoDA","food web 1","species 12","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.1,NA,NA,NA,NA,1.7,NA,0.230448921378274,NA,NA,NA
"25","PFDoDA","food web 1","species 13","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.3,NA,NA,NA,NA,3.3,NA,0.518513939877887,NA,NA,NA
"26","PFDoDA","food web 1","species 14","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.5,NA,NA,NA,NA,0.04,NA,-1.39794000867204,NA,NA,NA
"27","PFDoDA","food web 1","species 15","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.2,NA,NA,NA,NA,4.8,NA,0.681241237375587,NA,NA,NA
"28","PFDoDA","food web 1","species 16","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.3,NA,NA,NA,NA,1,NA,0,NA,NA,NA
"29","PFDoDA","food web 1","species 17","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.1,NA,NA,NA,NA,2.7,NA,0.431363764158987,NA,NA,NA
"30","PFDoDA","food web 1","species 18","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.8,NA,NA,NA,NA,0.18,NA,-0.744727494896694,NA,NA,NA
"31","PFDoDA","food web 1","species 19","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,NA,NA,NA,1.4,NA,0.146128035678238,NA,NA,NA
"32","PFDoDA","food web 1","species 2","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.1,NA,NA,NA,NA,0.52,NA,-0.283996656365201,NA,NA,NA
"33","PFDoDA","food web 1","species 20","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5,NA,NA,NA,NA,0.08,NA,-1.09691001300806,NA,NA,NA
"34","PFDoDA","food web 1","species 3","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.4,NA,NA,NA,NA,1.3,NA,0.113943352306837,NA,NA,NA
"35","PFDoDA","food web 1","species 4","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.5,NA,NA,NA,NA,1.1,NA,0.0413926851582251,NA,NA,NA
"36","PFDoDA","food web 1","species 5","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.2,NA,NA,NA,NA,2,NA,0.301029995663981,NA,NA,NA
"37","PFDoDA","food web 1","species 6","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,NA,NA,NA,2.3,NA,0.361727836017593,NA,NA,NA
"38","PFDoDA","food web 1","species 7","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.8,NA,NA,NA,NA,1,NA,0,NA,NA,NA
"39","PFDoDA","food web 1","species 8","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5,NA,NA,NA,NA,0.47,NA,-0.327902142064283,NA,NA,NA
"40","PFDoDA","food web 1","species 9","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","PFNA","food web 1","species 1","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","PFNA","food web 1","species 10","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","PFNA","food web 1","species 11","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","PFNA","food web 1","species 12","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","PFNA","food web 1","species 13","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","PFNA","food web 1","species 14","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","PFNA","food web 1","species 15","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.2,NA,NA,0.12,NA,NA,NA,NA,-0.920818753952375,NA,NA
"48","PFNA","food web 1","species 16","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","PFNA","food web 1","species 17","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","PFNA","food web 1","species 18","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","PFNA","food web 1","species 19","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","PFNA","food web 1","species 2","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.1,NA,NA,0.21,NA,NA,NA,NA,-0.677780705266081,NA,NA
"53","PFNA","food web 1","species 20","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5,NA,NA,0.26,NA,NA,NA,NA,-0.585026652029182,NA,NA
"54","PFNA","food web 1","species 3","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","PFNA","food web 1","species 4","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","PFNA","food web 1","species 5","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","PFNA","food web 1","species 6","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","PFNA","food web 1","species 7","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.8,NA,NA,0.06,NA,NA,NA,NA,-1.22184874961636,NA,NA
"59","PFNA","food web 1","species 8","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5,NA,NA,0.18,NA,NA,NA,NA,-0.744727494896694,NA,NA
"60","PFNA","food web 1","species 9","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","PFOS","food web 1","species 1","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",2.5,NA,0.06,NA,NA,NA,NA,NA,NA,-1.22184874961636,NA
"62","PFOS","food web 1","species 10","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,14,NA,NA,NA,NA,NA,NA,1.14612803567824,NA
"63","PFOS","food web 1","species 11","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.7,NA,1.7,NA,NA,NA,NA,NA,NA,0.230448921378274,NA
"64","PFOS","food web 1","species 12","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.1,NA,13,NA,NA,NA,NA,NA,NA,1.11394335230684,NA
"65","PFOS","food web 1","species 13","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.3,NA,2.9,NA,NA,NA,NA,NA,NA,0.462397997898956,NA
"66","PFOS","food web 1","species 14","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.5,NA,0.27,NA,NA,NA,NA,NA,NA,-0.568636235841013,NA
"67","PFOS","food web 1","species 15","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.2,NA,38,NA,NA,NA,NA,NA,NA,1.57978359661681,NA
"68","PFOS","food web 1","species 16","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.3,NA,14,NA,NA,NA,NA,NA,NA,1.14612803567824,NA
"69","PFOS","food web 1","species 17","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.1,NA,14,NA,NA,NA,NA,NA,NA,1.14612803567824,NA
"70","PFOS","food web 1","species 18","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.8,NA,3.8,NA,NA,NA,NA,NA,NA,0.57978359661681,NA
"71","PFOS","food web 1","species 19","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,13,NA,NA,NA,NA,NA,NA,1.11394335230684,NA
"72","PFOS","food web 1","species 2","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.1,NA,5.7,NA,NA,NA,NA,NA,NA,0.755874855672491,NA
"73","PFOS","food web 1","species 20","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5,NA,3.6,NA,NA,NA,NA,NA,NA,0.556302500767287,NA
"74","PFOS","food web 1","species 3","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.4,NA,3.4,NA,NA,NA,NA,NA,NA,0.531478917042255,NA
"75","PFOS","food web 1","species 4","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.5,NA,2.4,NA,NA,NA,NA,NA,NA,0.380211241711606,NA
"76","PFOS","food web 1","species 5","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.2,NA,6.2,NA,NA,NA,NA,NA,NA,0.792391689498254,NA
"77","PFOS","food web 1","species 6","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,NA,3.7,NA,NA,NA,NA,NA,NA,0.568201724066995,NA
"78","PFOS","food web 1","species 7","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.8,NA,5.4,NA,NA,NA,NA,NA,NA,0.732393759822969,NA
"79","PFOS","food web 1","species 8","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5,NA,8.1,NA,NA,NA,NA,NA,NA,0.90848501887865,NA
"80","PFOS","food web 1","species 9","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.6,NA,0.87,NA,NA,NA,NA,NA,NA,-0.0604807473813815,NA
"81","PFUnDA","food web 1","species 1","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",2.5,0.62,NA,NA,NA,NA,NA,NA,NA,NA,-0.207608310501746
"82","PFUnDA","food web 1","species 10","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,2.2,NA,NA,NA,NA,NA,NA,NA,NA,0.342422680822206
"83","PFUnDA","food web 1","species 11","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.7,0.53,NA,NA,NA,NA,NA,NA,NA,NA,-0.275724130399211
"84","PFUnDA","food web 1","species 12","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.1,4.2,NA,NA,NA,NA,NA,NA,NA,NA,0.6232492903979
"85","PFUnDA","food web 1","species 13","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.3,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.518513939877887
"86","PFUnDA","food web 1","species 14","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.5,0.05,NA,NA,NA,NA,NA,NA,NA,NA,-1.30102999566398
"87","PFUnDA","food web 1","species 15","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.2,8.9,NA,NA,NA,NA,NA,NA,NA,NA,0.949390006644913
"88","PFUnDA","food web 1","species 16","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.3,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.531478917042255
"89","PFUnDA","food web 1","species 17","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.1,3.7,NA,NA,NA,NA,NA,NA,NA,NA,0.568201724066995
"90","PFUnDA","food web 1","species 18","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.8,0.78,NA,NA,NA,NA,NA,NA,NA,NA,-0.10790539730952
"91","PFUnDA","food web 1","species 19","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,0.431363764158987
"92","PFUnDA","food web 1","species 2","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.1,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-0.387216143280265
"93","PFUnDA","food web 1","species 20","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,0.0791812460476248
"94","PFUnDA","food web 1","species 3","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0.176091259055681
"95","PFUnDA","food web 1","species 4","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,0.0791812460476248
"96","PFUnDA","food web 1","species 5","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5.2,2.8,NA,NA,NA,NA,NA,NA,NA,NA,0.447158031342219
"97","PFUnDA","food web 1","species 6","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.7,2,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981
"98","PFUnDA","food web 1","species 7","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.8,0.95,NA,NA,NA,NA,NA,NA,NA,NA,-0.0222763947111523
"99","PFUnDA","food web 1","species 8","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,0.0791812460476248
"100","PFUnDA","food web 1","species 9","S_004","Mazzoni_2020","Raw regression data extracted from Table S5 (PFAS concentrations) and Table 1 (TLs). We used the raw data to run the regression analysis and find slope and error.",4.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0.397940008672038
