"","Study_ID","filename","PFAS","tissue","species","software","ln_PFOS_mean","ln_PFDA_mean","ln_PFUnDA_mean","ln_PFDoDA_mean","ln_PFTrDA_mean","ln_FOSA_mean","delta_15N_mean","ln_62ClPFESA_mean","ln_82ClPFESA_mean","ln_102ClPFESA_mean","ln_103FTCA_mean"
"34","S_059","Jiao_2023","PFTrDA","heart","species 8",NA,NA,NA,NA,NA,3.064278608,NA,11.86662727,NA,NA,NA,NA
"35","S_059","Jiao_2023","PFTrDA","heart","species 9",NA,NA,NA,NA,NA,2.828233941,NA,11.69424744,NA,NA,NA,NA
"36","S_059","Jiao_2023","62ClPFESA","heart","species 1",NA,NA,NA,NA,NA,NA,NA,5.585531575,0.120670659,NA,NA,NA
"37","S_059","Jiao_2023","62ClPFESA","heart","species 2",NA,NA,NA,NA,NA,NA,NA,13.60411671,5.185534112,NA,NA,NA
"38","S_059","Jiao_2023","62ClPFESA","heart","species 3",NA,NA,NA,NA,NA,NA,NA,13.07953637,4.196246178,NA,NA,NA
"39","S_059","Jiao_2023","62ClPFESA","heart","species 4",NA,NA,NA,NA,NA,NA,NA,13.20443645,4.544644708,NA,NA,NA
"40","S_059","Jiao_2023","62ClPFESA","heart","species 5",NA,NA,NA,NA,NA,NA,NA,12.10531575,4.017685323,NA,NA,NA
"41","S_059","Jiao_2023","62ClPFESA","heart","species 6",NA,NA,NA,NA,NA,NA,NA,11.93045564,2.916317739,NA,NA,NA
"42","S_059","Jiao_2023","62ClPFESA","heart","species 7",NA,NA,NA,NA,NA,NA,NA,11.63069544,3.101619234,NA,NA,NA
"43","S_059","Jiao_2023","62ClPFESA","heart","species 8",NA,NA,NA,NA,NA,NA,NA,12.40507594,1.039908814,NA,NA,NA
"44","S_059","Jiao_2023","62ClPFESA","heart","species 9",NA,NA,NA,NA,NA,NA,NA,14.47841727,3.490725938,NA,NA,NA
