"","Study_ID","filename","group_id","plot_type","software","TL_mean","ln_PFOS_mean","ln_PFDA_mean","ln_PFUnDA_mean","ln_PFDoDA_mean"
"22","S_021","Chen_2018","PFUnDA species 3","Scatter plot","Webplot Digitiser",2.462783172,NA,NA,-0.451456311,NA
"23","S_021","Chen_2018","PFUnDA species 4","Scatter plot","Webplot Digitiser",3.084142395,NA,NA,-0.422330097,NA
"24","S_021","Chen_2018","PFUnDA species 5","Scatter plot","Webplot Digitiser",2.812297735,NA,NA,0.233009709,NA
"25","S_021","Chen_2018","PFUnDA species 6","Scatter plot","Webplot Digitiser",3.13592233,NA,NA,0.349514563,NA
"26","S_021","Chen_2018","PFUnDA species 7","Scatter plot","Webplot Digitiser",3.446601942,NA,NA,0.524271845,NA
"27","S_021","Chen_2018","PFUnDA species 8","Scatter plot","Webplot Digitiser",3.731391586,NA,NA,0.466019417,NA
"28","S_021","Chen_2018","PFUnDA species 9","Scatter plot","Webplot Digitiser",3.213592233,NA,NA,0.626213592,NA
"29","S_021","Chen_2018","PFUnDA species 10","Scatter plot","Webplot Digitiser",3.239482201,NA,NA,0.72815534,NA
"30","S_021","Chen_2018","PFUnDA species 11","Scatter plot","Webplot Digitiser",3.433656958,NA,NA,1.077669903,NA
"31","S_021","Chen_2018","PFUnDA species 12","Scatter plot","Webplot Digitiser",3.705501618,NA,NA,0.975728155,NA
"32","S_021","Chen_2018","PFUnDA species 13","Scatter plot","Webplot Digitiser",3.886731392,NA,NA,0.917475728,NA
"33","S_021","Chen_2018","PFUnDA species 14","Scatter plot","Webplot Digitiser",3.925566343,NA,NA,1.325242718,NA
"34","S_021","Chen_2018","PFUnDA species 15","Scatter plot","Webplot Digitiser",3.886731392,NA,NA,1.631067961,NA
"35","S_021","Chen_2018","PFUnDA species 16","Scatter plot","Webplot Digitiser",3.731391586,NA,NA,1.427184466,NA
"36","S_021","Chen_2018","PFUnDA species 17","Scatter plot","Webplot Digitiser",3.03236246,NA,NA,1.5,NA
"37","S_021","Chen_2018","PFUnDA species 18","Scatter plot","Webplot Digitiser",3.783171521,NA,NA,2.27184466,NA
"38","S_021","Chen_2018","PFUnDA species 19","Scatter plot","Webplot Digitiser",4.792880259,NA,NA,1.106796117,NA
"39","S_021","Chen_2018","PFDoDA species 1","Scatter plot","Webplot Digitiser",1.828947368,NA,NA,NA,-1.915750196
"40","S_021","Chen_2018","PFDoDA species 2","Scatter plot","Webplot Digitiser",2,NA,NA,NA,-1.717596229
"41","S_021","Chen_2018","PFDoDA species 3","Scatter plot","Webplot Digitiser",3.092105263,NA,NA,NA,-1.165815659
"42","S_021","Chen_2018","PFDoDA species 4","Scatter plot","Webplot Digitiser",2.486842105,NA,NA,NA,-0.486187484
"43","S_021","Chen_2018","PFDoDA species 5","Scatter plot","Webplot Digitiser",3.197368421,NA,NA,NA,0.06749149
"44","S_021","Chen_2018","PFDoDA species 6","Scatter plot","Webplot Digitiser",3.75,NA,NA,NA,-0.154163394
"45","S_021","Chen_2018","PFDoDA species 7","Scatter plot","Webplot Digitiser",2.828947368,NA,NA,NA,0.706140351
"46","S_021","Chen_2018","PFDoDA species 8","Scatter plot","Webplot Digitiser",3.144736842,NA,NA,NA,1.401086672
"47","S_021","Chen_2018","PFDoDA species 9","Scatter plot","Webplot Digitiser",3.236842105,NA,NA,NA,1.340926944
"48","S_021","Chen_2018","PFDoDA species 10","Scatter plot","Webplot Digitiser",3.473684211,NA,NA,NA,1.14074365
"49","S_021","Chen_2018","PFDoDA species 11","Scatter plot","Webplot Digitiser",3.460526316,NA,NA,NA,0.822401152
"50","S_021","Chen_2018","PFDoDA species 12","Scatter plot","Webplot Digitiser",3.710526316,NA,NA,NA,0.960460854
"51","S_021","Chen_2018","PFDoDA species 13","Scatter plot","Webplot Digitiser",3.907894737,NA,NA,NA,1.058981409
"52","S_021","Chen_2018","PFDoDA species 14","Scatter plot","Webplot Digitiser",3.894736842,NA,NA,NA,1.138648861
"53","S_021","Chen_2018","PFDoDA species 15","Scatter plot","Webplot Digitiser",3.894736842,NA,NA,NA,1.616260801
"54","S_021","Chen_2018","PFDoDA species 16","Scatter plot","Webplot Digitiser",3.723684211,NA,NA,NA,1.875818277
"55","S_021","Chen_2018","PFDoDA species 17","Scatter plot","Webplot Digitiser",3.776315789,NA,NA,NA,3.089486777
"56","S_021","Chen_2018","PFDoDA species 18","Scatter plot","Webplot Digitiser",4.776315789,NA,NA,NA,1.611874836
"57","S_021","Chen_2018","PFOS species 1","Scatter plot","Webplot Digitiser",1.833781879,0.294117647,NA,NA,NA
"58","S_021","Chen_2018","PFOS species 2","Scatter plot","Webplot Digitiser",1.989459182,0.838235294,NA,NA,NA
"59","S_021","Chen_2018","PFOS species 3","Scatter plot","Webplot Digitiser",3.085351788,1.823529412,NA,NA,NA
"60","S_021","Chen_2018","PFOS species 4","Scatter plot","Webplot Digitiser",3.673074459,2.058823529,NA,NA,NA
"61","S_021","Chen_2018","PFOS species 5","Scatter plot","Webplot Digitiser",3.724849417,2.294117647,NA,NA,NA
"62","S_021","Chen_2018","PFOS species 6","Scatter plot","Webplot Digitiser",3.201493016,2.514705882,NA,NA,NA
"63","S_021","Chen_2018","PFOS species 7","Scatter plot","Webplot Digitiser",3.135749071,2.691176471,NA,NA,NA
"64","S_021","Chen_2018","PFOS species 8","Scatter plot","Webplot Digitiser",3.005126233,2.647058824,NA,NA,NA
"65","S_021","Chen_2018","PFOS species 9","Scatter plot","Webplot Digitiser",2.807702166,3.264705882,NA,NA,NA
"66","S_021","Chen_2018","PFOS species 10","Scatter plot","Webplot Digitiser",2.442938613,2.691176471,NA,NA,NA
"67","S_021","Chen_2018","PFOS species 11","Scatter plot","Webplot Digitiser",3.435313341,3.191176471,NA,NA,NA
"68","S_021","Chen_2018","PFOS species 12","Scatter plot","Webplot Digitiser",3.4217929,3.397058824,NA,NA,NA
"69","S_021","Chen_2018","PFOS species 13","Scatter plot","Webplot Digitiser",3.238433936,3.558823529,NA,NA,NA
"70","S_021","Chen_2018","PFOS species 14","Scatter plot","Webplot Digitiser",3.734364988,3.926470588,NA,NA,NA
"71","S_021","Chen_2018","PFOS species 15","Scatter plot","Webplot Digitiser",3.891291811,3.897058824,NA,NA,NA
"72","S_021","Chen_2018","PFOS species 16","Scatter plot","Webplot Digitiser",3.891131616,3.970588235,NA,NA,NA
"73","S_021","Chen_2018","PFOS species 17","Scatter plot","Webplot Digitiser",3.77310009,4.147058824,NA,NA,NA
"74","S_021","Chen_2018","PFOS species 18","Scatter plot","Webplot Digitiser",3.903434576,4.323529412,NA,NA,NA
"75","S_021","Chen_2018","PFOS species 19","Scatter plot","Webplot Digitiser",4.768967064,3.044117647,NA,NA,NA
