Study_ID,filename,variable,group_id,mean,sd,se,error_type,plot_type,software,note
S_052,Cara_2022_1.png,TL,"PFOA, species1, location 8",2.615638767,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species2, location 8",2.853524229,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species3, location 8",2.899779736,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species4, location 8",3.002202643,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species5, location 8",3.197136564,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species6, location 8",3.497797357,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species1, location 4",2.70154185,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species2, location 4",2.737885463,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species3, location 4",2.969162996,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species4, location 4",3.200440529,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species5, location 4",3.398678414,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species6, location 4",3.702643172,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_2.png,PFUnDA,"PFUnDA, species1, location 5",0.69527897,0.157725322,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_2.png,PFUnDA,"PFUnDA, species2, location 5",0.762875536,0.222103004,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_2.png,PFUnDA,"PFUnDA, species3, location 5",0.431330472,0.106223176,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_2.png,PFUnDA,"PFUnDA, species4, location 5",0.473175966,0.090128755,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_2.png,PFUnDA,"PFUnDA, species5, location 5",0.418454936,0.093347639,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_2.png,TL,"PFUnDA, species1, location 5",2.598039216,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_2.png,TL,"PFUnDA, species2, location 5",2.647058824,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_2.png,TL,"PFUnDA, species3, location 5",3.104575163,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_2.png,TL,"PFUnDA, species4, location 5",3.303921569,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_2.png,TL,"PFUnDA, species5, location 5",3.598039216,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_3.png,PFTrDA,"PFTrDA, species1, location 8",0.00960334,0.003862213,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_3.png,PFTrDA,"PFTrDA, species2, location 8",0.012421712,0.002400835,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_3.png,PFTrDA,"PFTrDA, species3, location 8",0.021294363,0.001878914,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_3.png,PFTrDA,"PFTrDA, species4, location 8",0.03131524,0.011586639,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_3.png,PFTrDA,"PFTrDA, species5, location 8",0.039561587,0.003862213,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_3.png,TL,"PFTrDA, species1, location 8",2.902985075,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_3.png,TL,"PFTrDA, species2, location 8",3.002132196,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_3.png,TL,"PFTrDA, species3, location 8",3.203624733,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_3.png,TL,"PFTrDA, species4, location 8",3.299573561,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_3.png,TL,"PFTrDA, species5, location 8",3.497867804,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,TL,"PFOS, species1, benthic food web",3.32388664,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,TL,"PFOS, species2, benthic food web",4.082321188,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,TL,"PFOS, species1, pelagic food web",3.569500675,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,TL,"PFOS, species2, pelagic food web",4.090418354,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,TL,"PFOS, species3, pelagic food web",4.406207827,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,TL,"PFOS, species4, pelagic food web",4.940620783,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,ln_PFOS,"PFOS, species1, benthic food web",-1.295774648,NA,0.154929577,se,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,ln_PFOS,"PFOS, species2, benthic food web",-0.788732394,NA,0.211267606,se,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,ln_PFOS,"PFOS, species1, pelagic food web",-4.366197183,NA,0.126760563,se,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,ln_PFOS,"PFOS, species2, pelagic food web",-3.14084507,NA,0.352112676,se,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,ln_PFOS,"PFOS, species3, pelagic food web",-2.323943662,NA,0.450704225,se,mean_error,metaDigitise,NA
S_013,Martin_2004_2.png,ln_PFOS,"PFOS, species4, pelagic food web",-1.830985915,NA,0.394366197,se,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,ln_PFOA,"PFOA, species1, benthic food web",-2.445040214,NA,0.128686327,se,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,ln_PFOA,"PFOA, species2, benthic food web",-3.174262735,NA,0.300268097,se,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,ln_PFOA,"PFOA, species1, pelagic food web",-6.069705094,NA,0.193029491,se,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,ln_PFOA,"PFOA, species2, pelagic food web",-6.648793566,NA,0.643431635,se,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,ln_PFOA,"PFOA, species3, pelagic food web",-6.434316354,NA,0.600536193,se,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,ln_PFOA,"PFOA, species4, pelagic food web",-6.927613941,NA,0.064343164,se,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,TL,"PFOA, species1, benthic food web",3.336525308,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,TL,"PFOA, species2, benthic food web",4.088919289,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,TL,"PFOA, species1, pelagic food web",3.577291382,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,TL,"PFOA, species2, pelagic food web",4.102599179,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,TL,"PFOA, species3, pelagic food web",4.411764706,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_3.png,TL,"PFOA, species4, pelagic food web",4.945280438,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,ln_PFNA,"PFNA, species1, benthic food web",-2.849315068,NA,0.109589041,se,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,ln_PFNA,"PFNA, species2, benthic food web",-3.835616438,NA,1.232876712,se,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,ln_PFNA,"PFNA, species1, pelagic food web",-5.917808219,NA,0.109589041,se,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,ln_PFNA,"PFNA, species2, pelagic food web",-7.726027397,NA,1.123287671,se,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,ln_PFNA,"PFNA, species3, pelagic food web",-5.205479452,NA,0.657534247,se,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,ln_PFNA,"PFNA, species4, pelagic food web",-5.726027397,NA,0.794520548,se,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,TL,"PFNA, species1, benthic food web",3.325827815,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,TL,"PFNA, species2, benthic food web",4.086092715,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,TL,"PFNA, species1, pelagic food web",3.58013245,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,TL,"PFNA, species2, pelagic food web",4.096688742,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,TL,"PFNA, species3, pelagic food web",4.406622517,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_4.png,TL,"PFNA, species4, pelagic food web",4.933774834,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,ln_PFDA,"PFDA, species1, benthic food web",-3.46031746,NA,0.079365079,se,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,ln_PFDA,"PFDA, species2, benthic food web",-3.587301587,NA,0.301587302,se,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,ln_PFDA,"PFDA, species1, pelagic food web",-6.714285714,NA,0.079365079,se,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,ln_PFDA,"PFDA, species2, pelagic food web",-6.873015873,NA,0.73015873,se,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,ln_PFDA,"PFDA, species3, pelagic food web",-5.222222222,NA,0.507936508,se,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,ln_PFDA,"PFDA, species4, pelagic food web",-5.285714286,NA,0.634920635,se,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,TL,"PFDA, species1, benthic food web",3.324396783,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,TL,"PFDA, species2, benthic food web",4.085790885,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,TL,"PFDA, species1, pelagic food web",3.579088472,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,TL,"PFDA, species2, pelagic food web",4.09919571,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,TL,"PFDA, species3, pelagic food web",4.410187668,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_5.png,TL,"PFDA, species4, pelagic food web",4.941018767,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,ln_PFUnDA,"PFUnDA, species1, benthic food web",-3.178947368,NA,0.063157895,se,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,ln_PFUnDA,"PFUnDA, species2, benthic food web",-3.2,NA,0.210526316,se,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,ln_PFUnDA,"PFUnDA, species1, pelagic food web",-6.673684211,NA,0.147368421,se,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,ln_PFUnDA,"PFUnDA, species2, pelagic food web",-7.010526316,NA,0.863157895,se,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,ln_PFUnDA,"PFUnDA, species3, pelagic food web",-5.094736842,NA,0.526315789,se,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,ln_PFUnDA,"PFUnDA, species4, pelagic food web",-4.989473684,NA,0.736842105,se,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,TL,"PFUnDA, species1, benthic food web",3.321088435,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,TL,"PFUnDA, species2, benthic food web",4.088435374,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,TL,"PFUnDA, species1, pelagic food web",3.57414966,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,TL,"PFUnDA, species2, pelagic food web",4.096598639,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,TL,"PFUnDA, species3, pelagic food web",4.40952381,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_6.png,TL,"PFUnDA, species4, pelagic food web",4.945578231,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,ln_PFDoDA,"PFUDoDA, species1, benthic food web",-4.256830601,NA,0.081967213,se,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,ln_PFDoDA,"PFUDoDA, species2, benthic food web",-4.243169399,NA,0.204918033,se,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,ln_PFDoDA,"PFUDoDA, species1, pelagic food web",-6.37431694,NA,0.12295082,se,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,ln_PFDoDA,"PFUDoDA, species2, pelagic food web",-6.524590164,NA,0.99726776,se,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,ln_PFDoDA,"PFUDoDA, species3, pelagic food web",-5.595628415,NA,0.368852459,se,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,ln_PFDoDA,"PFUDoDA, species4, pelagic food web",-5.745901639,NA,0.683060109,se,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,TL,"PFUDoDA, species1, benthic food web",3.332863188,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,TL,"PFUDoDA, species2, benthic food web",4.086036671,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,TL,"PFUDoDA, species1, pelagic food web",3.575458392,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,TL,"PFUDoDA, species2, pelagic food web",4.094499295,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,TL,"PFUDoDA, species3, pelagic food web",4.410437236,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_7.png,TL,"PFUDoDA, species4, pelagic food web",4.935119887,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,ln_PFTrDA,"PFTrDA, species1, benthic food web",-4.20596206,NA,0.040650407,se,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,ln_PFTrDA,"PFTrDA, species2, benthic food web",-4.341463415,NA,0.243902439,se,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,ln_PFTrDA,"PFTrDA, species1, pelagic food web",-6.509485095,NA,0.094850949,se,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,ln_PFTrDA,"PFTrDA, species2, pelagic food web",-6.536585366,NA,0.203252033,se,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,ln_PFTrDA,"PFTrDA, species3, pelagic food web",-5.628726287,NA,0.379403794,se,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,ln_PFTrDA,"PFTrDA, species4, pelagic food web",-5.466124661,NA,0.501355014,se,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,TL,"PFTrDA, species1, benthic food web",3.323570432,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,TL,"PFTrDA, species2, benthic food web",4.085076709,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,TL,"PFTrDA, species1, pelagic food web",3.574616457,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,TL,"PFTrDA, species2, pelagic food web",4.093444909,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,TL,"PFTrDA, species3, pelagic food web",4.411436541,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_8.png,TL,"PFTrDA, species4, pelagic food web",4.941422594,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,ln_PFTeDA,"PFTeDA, species1, benthic food web",-4.898395722,NA,0.080213904,se,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,ln_PFTeDA,"PFTeDA, species2, benthic food web",-5.540106952,NA,0.272727273,se,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,ln_PFTeDA,"PFTeDA, species1, pelagic food web",-6.502673797,NA,0.096256684,se,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,ln_PFTeDA,"PFTeDA, species2, pelagic food web",-8.267379679,NA,0.064171123,se,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,ln_PFTeDA,"PFTeDA, species3, pelagic food web",-7.786096257,NA,0.754010695,se,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,ln_PFTeDA,"PFTeDA, species4, pelagic food web",-7.080213904,NA,1.07486631,se,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,TL,"PFTeDA, species1, benthic food web",3.327421555,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,TL,"PFTeDA, species2, benthic food web",4.085948158,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,TL,"PFTeDA, species1, pelagic food web",3.581173261,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,TL,"PFTeDA, species2, pelagic food web",4.099590723,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,TL,"PFTeDA, species3, pelagic food web",4.410641201,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_9.png,TL,"PFTeDA, species4, pelagic food web",4.934515689,NA,NA,NA,mean_error,metaDigitise,NA
S_013,Martin_2004_10.png,ln_FOSA,"FOSA, species1, whole food web",-1.697560976,NA,0.136585366,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10.png,ln_FOSA,"FOSA, species2, whole food web",-2.068292683,NA,0.07804878,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10.png,ln_FOSA,"FOSA, species3, whole food web",-1.892682927,NA,0.03902439,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10.png,ln_FOSA,"FOSA, species4, whole food web",-5.892682927,NA,0.72195122,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10.png,ln_FOSA,"FOSA, species5, whole food web",-2.673170732,NA,0.331707317,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10.png,ln_FOSA,"FOSA, species6, whole food web",-4.468292683,NA,1.112195122,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10r.png,TL,"FOSA, species1, whole food web",3.331972789,NA,NA,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10r.png,TL,"FOSA, species2, whole food web",3.576870748,NA,NA,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10r.png,TL,"FOSA, species3, whole food web",4.085714286,NA,NA,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10r.png,TL,"FOSA, species4, whole food web",4.102040816,NA,NA,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10r.png,TL,"FOSA, species5, whole food web",4.395142385,NA,NA,se,mean_error,metaDigitise,NA
S_013,Martin_2004_10r.png,TL,"FOSA, species6, whole food web",4.937414966,NA,NA,se,mean_error,metaDigitise,NA
S_053,Koch_2020_1,PFOS,"PFOS, species1, aquatic food web",1109.752496,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species2, aquatic food web",1762.914118,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species3, aquatic food web",148.2020706,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species4, aquatic food web",3783.462617,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species5, aquatic food web",2612.675226,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species6, aquatic food web",4880.251584,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species7, aquatic food web",2025.501939,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species8, aquatic food web",922.1978823,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species9, aquatic food web",1499.268433,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species10, aquatic food web",8703.591361,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species11, aquatic food web",7232.633896,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species12, aquatic food web",3783.462617,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species13, aquatic food web",1534.368409,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species14, aquatic food web",880.4883582,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species15, aquatic food web",6747.544053,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species1, aquatic food web",5.531914894,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species2, aquatic food web",8.136170213,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species3, aquatic food web",9.974468085,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species4, aquatic food web",9.872340426,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species5, aquatic food web",9.872340426,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species6, aquatic food web",10.63829787,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species7, aquatic food web",10.99574468,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species8, aquatic food web",11.04680851,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species9, aquatic food web",11.81276596,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species10, aquatic food web",12.2212766,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species11, aquatic food web",13.65106383,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species12, aquatic food web",13.65106383,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species13, aquatic food web",13.39574468,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species14, aquatic food web",13.80425532,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,delta_15N,"PFOS, species15, aquatic food web",14.6212766,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species1, riparian food web",19.30697729,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species2, riparian food web",10.1440453,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species3, riparian food web",623.7794396,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species4, riparian food web",107.4127661,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species5, riparian food web",145.0409659,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species6, riparian food web",195.8508523,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species7, riparian food web",14.29813862,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species8, riparian food web",4.686055775,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species9, riparian food web",15.57925134,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species10, riparian food web",73.00524071,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species11, riparian food web",127.5234525,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species12, riparian food web",572.4848197,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
S_053,Koch_2020_1,PFOS,"PFOS, species13, riparian food web",442.5503952,NA,NA,NA,Scatter plot,Webplot Digitiser,NA
