"TMF_ID","FW_ID","PFAS_ID","Sample_type","Biomass_conversion","Regression_type","Conc_determ_method","Undetected_strategy_LOD","Undetected_strategy_LOQ","TMF_formula","TMF","TMF_lower_95CI","TMF_upper_95CI","TMF_se","TMS","TMS_lower_95CI","TMS_upper_95CI","TMS_se","TMS_calculated","TMS_se_calculated","n_samples","n_obs","tau.rho","intercept","pvalue","pvalue_adj","r","z_value","ln_TMF","ln_TMF_se","Study_ID","Ecosystem","Location","Latitude","Longitude","Latitude_DD","Longitude_DD","Species_composition","n_species","Species_highest_TL","Species_cn_highest_TL","Taxa_highest_TL","TL_calculation_method","TL_values","Breathing_type_fw","Breathing_type","TL_highest","TL_lowest","fw_length","Author_year","Note","Rd_ext","Rd_ext_done","Lm_done","Title","DOI","Journal","Study_design","TEF","TEF_unit_of_measurement","TL_calculation_baseline","IFF","Linear_regression_formula","Aggregation","Regression_variable","year_publication","Synonym","Compound_full_name","Molecular_formula","ccl","Chain_length","Class","CASRN"
"TMF_240","FW_028","l-FOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",0.64,0.62,0.66,0.0204081632653061,-0.193820026016113,NA,NA,NA,NA,NA,"44","","−0.177",NA,"> 0.05",NA,NA,NA,-0.446287102628419,0.0318877551020408,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",21,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22, 3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,2,2.49,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Linear perfluorooctanesulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_241","FW_028","br-FOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",0.83,0.78,0.88,0.0510204081632653,-0.0809219076239261,NA,NA,NA,NA,NA,"44","","−0.119",NA,"> 0.05",NA,NA,NA,-0.186329578191493,0.0614703712810425,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",21,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22, 3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,2,2.49,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Branched perfluorooctanesulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_246","FW_028","l-EtFOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",1.8,1.72,1.89,0.086734693877551,0.255272505103306,NA,NA,NA,NA,NA,"44","","0.112",NA,"> 0.05",NA,NA,NA,0.587786664902119,0.0481859410430839,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",21,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22, 3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,2,2.49,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Linear n-ethyl perfluorooctane sulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_247","FW_028","br-EtFOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",1.6,1.38,1.86,0.244897959183674,0.204119982655925,NA,NA,NA,NA,NA,"44","","−0.021",NA,"> 0.05",NA,NA,NA,0.470003629245736,0.153061224489796,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",21,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22, 3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,2,2.49,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Branched n-ethyl perfluorooctane sulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_255","FW_029","l-FOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",1.84,1.33,2.54,0.61734693877551,0.264817823009536,NA,NA,NA,NA,NA,"18","","0.959",NA,"> 0.05",NA,NA,NA,0.609765571620894,0.335514640638864,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",10,"Polychaeta","Marine annelid worm","Annelids","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22","not water-breathing only","Water breathing through skin",3.22,2,1.22,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Linear perfluorooctanesulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_256","FW_029","l-EtFOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",2.65,1.85,3.78,0.98469387755102,0.423245873936808,NA,NA,NA,NA,NA,"18","","0.226",NA,"> 0.05",NA,NA,NA,0.974559639998131,0.371582595302272,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",10,"Polychaeta","Marine annelid worm","Annelids","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22","not water-breathing only","Water breathing through skin",3.22,2,1.22,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Linear n-ethyl perfluorooctane sulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_257","FW_029","br-EtFOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",5.16,1.4,18.9,8.92857142857143,0.712649701627211,NA,NA,NA,NA,NA,"18","","0.273",NA,"> 0.05",NA,NA,NA,1.64093657949347,1.73034330011074,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",10,"Polychaeta","Marine annelid worm","Annelids","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22","not water-breathing only","Water breathing through skin",3.22,2,1.22,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Branched n-ethyl perfluorooctane sulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_265","FW_030","l-FOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",1.54,1.26,1.88,0.316326530612245,0.187520720836463,NA,NA,NA,NA,NA,"26","","0.179",NA,"> 0.05",NA,NA,NA,0.431782416425538,0.205406838059899,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",11,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,3.56,0.93,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Linear perfluorooctanesulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_266","FW_030","l-EtFOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",0.22,0.15,0.32,0.086734693877551,-0.657577319177794,NA,NA,NA,NA,NA,"26","","-0.313",NA,"> 0.05",NA,NA,NA,-1.51412773262978,0.394248608534323,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",11,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,3.56,0.93,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Linear n-ethyl perfluorooctane sulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_267","FW_030","br-EtFOSA","whole-organisms only","yes","Linear regression","wet weight concentrations (ww)","imputation",NA,"10^slope",0.08,0.02,0.24,0.112244897959184,-1.09691001300806,NA,NA,NA,NA,NA,"26","","-0.306",NA,"> 0.05",NA,NA,NA,-2.52572864430826,1.4030612244898,"S_012","estuarine","South America","12° 35′ S","38° 29′ W",-12.5833,"-38.4833°","fish and other species",11,"Ctenosciaena gracilicirrhus","Barbel drum","Fish","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49","not water-breathing only",NA,4.49,3.56,0.93,"Miranda_2021","It provides slope and CIs values. We calculated the slope's standard error from CIs.","No",NA,NA,"Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.","10.1016/j.scitotenv.2020.142146","Science of the Total Environment","Observational. Field study.","2.3","‰","2","No","log[PFAS] = TL(slope) + intercept","No","TL",2021,NA,"Branched n-ethyl perfluorooctane sulfonamide",NA,8,"long","Precursor and/or intermediate",NA
"TMF_290","FW_035","l-PFOA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)","the limit value divided by two",NA,"10^slope",1.57,NA,NA,1.60282205735018,0.195899652409234,NA,NA,0.204885310376307,NA,NA,"37","",NA,NA,"0.339",0.339,NA,0.956142985797422,0.451075619360217,1.02090576901285,"S_015","marine","East Asia","40° 42' N","121° 46' E",40.7,"121.7667°","fish and other species",12,"Larus crassirostris","Black-tailed gull","Bird","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2±0.07, 2.74±0.14, 2.87±0.09, 2.14±0.15, 2.85±0.08, 2.98±0.06, 3.01±0.09, 3.09±0.04, 3.15±0.04, 3.36±0.03, 3.35±0.44, 3.49±0.12","not water-breathing only","Air breathing",3.49,2,1.49,"Zhang_2015","It provides slope and p-value.","No",NA,NA,"Isomer‐specific trophic transfer of perfluorocarboxylic acids in the marine food web of Liaodong Bay, North China.","10.1021/es504445x","Environmental Science & Technology","Observational. Field study.","3.8","‰","2 for aquatic organisms and 3 for seabird species.","No for aquatic organisms. Yes for bird species.","log[PFAS] = TL(slope) + intercept","No","TL",2015,NA,"Linear perfluorooctanoic acid","C8F17COOH",8,"long","PFCA",NA
"TMF_291","FW_035","br-PFOA","specific tissues and whole-organisms","no","Linear regression","wet weight concentrations (ww)","the limit value divided by two",NA,"10^slope",2.15,NA,NA,1.63178194409157,0.332438459915605,NA,NA,0.212662123287368,NA,NA,"37","",NA,NA,"0.118",0.118,NA,1.56322364686628,0.765467842139571,0.758968346089102,"S_015","marine","East Asia","40° 42' N","121° 46' E",40.7,"121.7667°","fish and other species",12,"Larus crassirostris","Black-tailed gull","Bird","from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","2±0.07, 2.74±0.14, 2.87±0.09, 2.14±0.15, 2.85±0.08, 2.98±0.06, 3.01±0.09, 3.09±0.04, 3.15±0.04, 3.36±0.03, 3.35±0.44, 3.49±0.12","not water-breathing only","Air breathing",3.49,2,1.49,"Zhang_2015","It provides slope and p-value.","No",NA,NA,"Isomer‐specific trophic transfer of perfluorocarboxylic acids in the marine food web of Liaodong Bay, North China.","10.1021/es504445x","Environmental Science & Technology","Observational. Field study.","3.8","‰","2 for aquatic organisms and 3 for seabird species.","No for aquatic organisms. Yes for bird species.","log[PFAS] = TL(slope) + intercept","No","TL",2015,NA,"Branched perfluorooctanoic acid","C8F17COOH",8,"long","PFCA",NA
