Initials_double_checker,Initials_data_extraction,FW_ID,Study_ID,,Ecosystem,Ecosystem_comment,,,Latitude,Longitude,Coordinates_comment,Latitude_DD,Longitude_DD,Species_composition,n_species,Species_highest_TL,Species_cn_highest_TL,Taxa_highest_TL,TL_calculation_method,TL_calculation_method_comment,TL_values,TL_values_comment,FoodWeb_comment
,LR,FW_011,S_004,,freshwater,"Lake Mergozzo, Italy",,,45° 57' N,8° 27' E,Figure 1,45.95°,8.45°,fish only,19,Salvelinus alpinus,Arctic char,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"4.1, 4.4, 4.5, 4.6, 4.7, 4.7, 4.7, 4.8, 4.8, 5, 5, 5.1, 5.1, 5.2, 5.2, 5.3, 5.3, 5.5, 5.7",Data extracted from Table 1.,excluding zooplankton
,LR,FW_012,S_005,,estuarine,"Charleston Harbor, South Carolina",,,32.776566,-79.930923,Latitude and longitude extracted from Google Maps.,32.776566,-79.930923,fish and other species,7,Delphinus truncatus,Bottlenose dolphin,Marine mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.4±0.4, 4.3±0.4, 3.9±0.3,4.2±0.2, 4.2±0.5, 4.3±0.2, 4.4±0.2 ",Data extracted from Table 1.,NA
,LR,FW_013,S_005,,marine,"Sarasota Bay, Florida",,,27.377865,-82.585945,Latitude and longitude extracted from Google Maps.,27.377865,-82.585945,fish and other species,7,Delphinus truncatus,Bottlenose dolphin,Marine mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.4, 3.1, 3.2, 3.3, 3.7, 4.1",Data extracted from Table 1.,NA
,LR,FW_014,S_005,,marine,"Sarasota Bay, Florida",,,27.377865,-82.585945,Latitude and longitude extracted from Google Maps.,27.377865,-82.585945,fish and other species,6,Delphinus truncatus,Bottlenose dolphin,Marine mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.4, 3.1, 3.2, 3.3, 3.7, 4.1",Data extracted from Table 1.,zooplankton excluded
,LR,FW_018,S_006,,freshwater,"Lake Ontario, North America",,,43° 3′ N,79° 2′ W,NA,43.05°,-79.0333°,fish and other species,7,Salvelinus namaycush,Lake trout,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1±0.23, 1.98±0.00, 1.8±0.01, 3.1±0.06, 2.3±0.02, 3.2±0.03, 4±0.17",Data extracted from Table S1.,NA
,LR,FW_019,S_006,,freshwater,"Lake Ontario, North America",,,43° 3′ N,79° 2′ W,NA,43.05°,-79.0333°,fish and other species,5,Salvelinus namaycush,Lake trout,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1±0.23, 1.98±0.00, 3.1±0.06, 2.3±0.02, 4±0.17",Data extracted from Table S1.,benthic feeders (diporeia and sculpin) omitted
,LR,FW_020,S_007,,marine,"Beaufort sea, North America",,,69° 32′ N,133° 36′ W,NA,69.5333°,-133.6°,fish and other species,7,Delphinapterus leucas,Beluga whale,Marine mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.2, 2.7±0.2, 2.8±0.1, 3.4±0.1, 3.6±0.2, 2.8±0.1",Data extracted from Table S14's caption.,NA
,LR,FW_022,S_008,,marine,"Davis Strait, Arctic Ocean",,,66.55,-58.1,Latitude and longitude extracted from Google Maps.,66.55°,-58.1°,fish and other species,10,Larus hyperboreus,Glaucous gull,Bird,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.6, 2.7, 2.8, 3.1, 3.2, 3.8, 3.9, 5.1, 5.8",TLs not provided. We extracted TL values from Figure 2 using the metaDigitiser R package.,NA
,LR,FW_023,S_009,,tidal,"Mai Po Nature Reserve, Hong Kong",,,22° 29' N,114° 02' E,Latitude and longitude extracted from Google Maps.,22.4833°,114.0333°,fish and other species,11,Channa asiatica,Small snakehead,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"0.7, 2, 2.6, 3.2, 4.8, 4.8, 1.9, 5, 5.5, 3.4, 4.3",Data extracted from Table S6.,NA
,LR,FW_024,S_010,,estuarine,Gironde estuary (SW France),,,45.4277° N,0.8613° W,Latitude and longitude extracted from Google Maps.,45.4277° ,0.8613° ,fish and other species,18,Argyrosomus regius,Meagre,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,NA,TLs not provided.,Whole Gironde estuary food web
,LR,FW_025,S_010,,estuarine,Gironde estuary (SW France),,,45.4277° N,0.8613° W,Latitude and longitude extracted from Google Maps.,45.4277° ,0.8613° ,fish and other species,12,Solea solea,Common sole,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,NA,TLs not provided.,Gironde estuary benthic food web
,LR,FW_026,S_010,,estuarine,Gironde estuary (SW France),,,45.4277° N,0.8613° W,Latitude and longitude extracted from Google Maps.,45.4277° ,0.8613° ,fish and other species,6,Argyrosomus regius,Meagre,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,NA,TLs not provided.,Gironde estuary demersal food web
,LR,FW_027,S_011,,freshwater,"Orge river at Viry-Chatillon, France",,,48° 40′ N,2° 21’ E,Latitude and longitude extracted from text.,48.6667°,2.35°,fish and other species,14,Barbus barbus,Common barbel,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.4, 2.7-3.1, 2.6-3, 2.6-3, 3-3.2, 2.8-3, 2.9-3.1, 3-3.5, 1.9-2.1, 2.1-2.3, 2, 1.2, 1.1, 1.0, 1.2",Data extracted from Table S4's caption.,NA
,LR,FW_028,S_012,,estuarine,"Todos os Santos Bay, Brazil",,,12° 35′ S,38° 29′ W,Latitude and longitude extracted from text.,-12.5833°,-38.4833°,fish and other species,21,Ctenosciaena gracilicirrhus,Barbel drum,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22, 3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49",Data extracted from Table S7.,whole Todos os Santos Bay food web
,LR,FW_029,S_012,,estuarine,"Todos os Santos Bay, Brazil",,,12° 35′ S,38° 29′ W,Latitude and longitude extracted from text.,-12.5833°,-38.4833°,fish and other species,10,Polychaeta,Marine annelid worm,Annelids,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.4, 2.11, 2.36, 2.54, 2.6, 2.68, 2.96, 3.01, 3.22",Data extracted from Table S7.,group 1: trophic positions from 2.00 to 3.22
,LR,FW_030,S_012,,estuarine,"Todos os Santos Bay, Brazil",,,12° 35′ S,38° 29′ W,Latitude and longitude extracted from text.,-12.5833°,-38.4833°,fish and other species,11,Ctenosciaena gracilicirrhus,Barbel drum,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.56, 3.59, 3.68, 3.89, 3.97, 3.98, 4, 4.15, 4.29, 4.48, 4.49",Data extracted from Table S7.,group 2: trophic levels from 3.56 to 4.49
,LR,FW_031,S_013,,freshwater,"Lake Ontario, North America",,,43° 42' N,-77° 54' W,Latitude and longitude extracted from Google Maps.,43.7°,-77.9°,fish and other species,6,Salvelinus namaycush,Lake trout,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.3, 3.6, 4.1, 4.1, 4.4, 4.9",TLs not provided. We extracted TL values from Figure 3 using the metaDigitiser R package.,whole food web
,LR,FW_032,S_013,,freshwater,"Lake Ontario, North America",,,43° 42' N,-77° 54' W,Latitude and longitude extracted from Google Maps.,43.7°,-77.9°,fish and other species,2,Cottus cognatus,Slimy sculpin,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.3, 4.1",TLs not provided. We extracted TL values from Figure 3 using the metaDigitiser R package.,benthic food web
,LR,FW_033,S_013,,freshwater,"Lake Ontario, North America",,,43° 42' N,-77° 54' W,Latitude and longitude extracted from Google Maps.,43.7°,-77.9°,fish and other species,4,Salvelinus namaycush,Lake trout,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.6, 4.1, 4.4, 4.9",TLs not provided. We extracted TL values from Figure 3 using the metaDigitiser R package.,pelagic food web
,LR,FW_034,S_014,,freshwater,"Taihu Lake, China",,,31.2580° N,120.2051° E,Latitude and longitude extracted from Google Maps.,31.2580°,120.2051°,fish and other species,14,NA,Egret,Bird,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1.05, 2, 2.53, 2.94, 2.95, 3.24, 3.28, 3.62, 3.66, 3.76, 3.81, 4.11, 4.3, 4.61",Data extracted from Table S4,NA
,LR,FW_035,S_015,,marine,"Liadong Bay, China",,,40° 42' N,121° 46' E,Latitude and longitude extracted from text.,40.7°,121.7667°,fish and other species,12,Larus crassirostris,Black-tailed gull,Bird,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2±0.07, 2.74±0.14, 2.87±0.09, 2.14±0.15, 2.85±0.08, 2.98±0.06, 3.01±0.09, 3.09±0.04, 3.15±0.04, 3.36±0.03, 3.35±0.44, 3.49±0.12",Data extracted from Table 2,NA
,LR,FW_036,S_016,,marine,"Bohai Sea, China",,,38.8495° N,119.7889° E,Latitude and longitude extracted from Google Maps.,38.8495°,119.7889°,fish and other species,16,Neophocaena,Finless porpoise,Marine mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.51±0.36,  1.63±0.65,  2.06±0.21,  0.60±0.26,  2.69±0.45, 2.53±0.44, 2.60±0.46, 2.91±0.22, 2.67±0.18, 2.52±0.18, 2.62±0.44, 3.13±0.31, 2.73±0.23, 2.88±0.09, 2.67±0.15,  3.04±0.73, 4.08±0.58, 4.30±0.28",Data extracted from Table 2,NA
,LR,FW_037,S_017,,freshwater,"Lake Chaohu, China",,,117°25′ E,30°33′ N,Latitude and longitude extracted from Wei et al. (2022) DOI: 10.3390/su142013155,30.55°,117.4167°,fish and other species,6,NA,NA,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.4, 2.5, 2.5, 2.7, 2.9, 3.6",Data extracted from Figure 4,NA
,LR,FW_038,S_018,,freshwater,"Yadkin-Pee Dee River, Carolina, USA",,,35° 22′ N ,80° 3' W,Latitude and longitude extracted from Google Maps.,35.3667°,-80.05°,fish and other species,27,Micropterus salmoides,Largemouth bass,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.2, 2.4, 2.7, 3.11±0.1, 2.96±0.1, 2.87±0.06, 3.09±0.04, 2.7±0.13, 3.57±0.14, 2.76±0.06, 3.08±0.03, 2.37±0.04, 2.80±0.11","TL values not provided for insects, mollusks, and crayfishes. We calculated the TL values using nitrogen isotope results and equation 1. TLs of fish are provided.",Whole food web
,LR,FW_039,S_018,,freshwater,"Yadkin-Pee Dee River, Carolina, USA",,,35° 22′ N ,80° 3' W,Latitude and longitude extracted from Google Maps.,35.3667°,-80.05°,fish only,10,Micropterus salmoides,Largemouth bass,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.11±0.1, 2.96±0.1, 2.87±0.06, 3.09±0.04, 2.7±0.13, 3.57±0.14, 2.76±0.06, 3.08±0.03, 2.37±0.04, 2.80±0.11",TL values calculated using the average value across the five sampling sites. We calculated weighted means and standard error of the mean.,Fishes only
,LR,FW_040,S_019,,marine,"Fildes Peninsula, Antarctica",,,62° 11′ S ,58° 55' W,Latitude and longitude extracted from text.,-62.1833°,-58.9167°,fish and other species,5,Notothenia coriiceps,Black rockcod,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1, 1.65±0.14, 2.34±0.07, 3.10±0.10, 3.43±0.06",Data extracted from text.,NA
,LR,FW_041,S_020,,freshwater,"Lake Tyrifjorden, Norway",,,60.03° N,10.17° E,Latitude and longitude extracted from text.,60.03°,10.17°,fish and other species,7,Salvelinus alpinus,Arctic char,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.57, 3.61, 2.95, 3.44, 4.34, 3.84, 3.80",TLs were calculted using data from Table S24. We calculated the mean value for each species.,Sampling site L3
,LR,FW_042,S_020,,freshwater,"Lake Tyrifjorden, Norway",,,60.03° N,10.17° E,Latitude and longitude extracted from text.,60.03°,10.17°,fish and other species,6,Esox lucius,Northern pike,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"4.81, 4.39, 3.82, 4.87, 4.45, 4.45",TLs were calculted using data from Table S24. We calculated the mean value for each species.,Sampling site L6
,LR,FW_043,S_021,,freshwater,"Taihu Lake, China",,,31.2580° N,120.2051° E,Latitude and longitude extracted from Google Maps.,31.2580°,120.2051°,fish and other species,18,NA,NA,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1.8, 1.9, 2.4, 2.8, 3, 3.1, 3.2, 3.2, 3.4, 3.2, 3.2, 3.3, 3.3, 3.6, 3.8, 3.8, 3.9, 4.7","TL values not provided. The sudy states: ""The trophic levels of the organisms were determined using the stable nitrogen isotope technique and the results are listed in Table S6"". However, they are not provided in Table S6. We extracted  TL values from Figure4 using the metaDigitise package.",NA
,LR,FW_044,S_022,,freshwater,"Xiaoqing River, China",,,37.2758° N,118.9753° E,Latitude and longitude extracted from Google Maps.,31.2580°,120.2051°,fish and other species,16,NA,NA,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.81, 3.29, 3.47, 3.54, 4.05, 4.1, 4.39, 4.23, 2.29, 2.55, 3.43, 2.93, 2.21, 5.41, 3.62, 5.08, 4.11, 3.81, 3.32, 5.03, 3.64, 3.37, 3.14, 5.07, 3.97, 5.47, 4.43, 4.01, 4, 4.25",Data extracted from Tabke S8. Only TL calculated using isotope analysis in organisms' muscle were extracted because only PFAS concentrations in muscle were used for regression analysis.,NA
,LR,FW_045,S_022,,marine,"Laizhou Bay, China",,,37.3106° N,119.3600° E,Latitude and longitude extracted from Google Maps.,31.2580°,120.2051°,fish and other species,40,NA,NA,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.54, 4, 3.51, 2.63, 4.04, 3.71, 3.33, 3.99, 3.98, 4.83, 3.47, 3.67, 3.59, 3.88, 3.76, 4.07, 4.29, 3.35, 3.51, 3.98, 4.29, 3.27, 3.23, 3.29, 4.15, 3.43, 3.26",Data extracted from Tabke S8. Only TL calculated using isotope analysis in organisms' muscle were extracted because only PFAS concentrations in muscle were used for regression analysis.,NA
,LR,FW_046,S_023,,marine,"Qinzhou Bay, China",,,21.6261° N,108.6625° E,Latitude and longitude extracted from Google Maps.,21.6261°,108.6625°,fish and other species,15,Pagrosomus major,Red seabream,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2, 2.1, 2.23, 2.97, 2.66, 3.23, 3.12, 3.31, 2.77, 2.52, 3.54, 3.57, 3.5, 3.62, 3.08",Data extracted from Table 2,NA
,LR,FW_047,S_024,,estuarine,"Xiaoqing River, China",,,37°16' N,118°53' E,Latitude and longitude extracted from Google Maps.,37.2667°,118.8833°,fish and other species,10,Lateolabrax japonicas,Sea perch,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.44±0.03, 2.84±0.02, 3.00±0.02, 3.13±0.05, 3.48±0.03, 3.89±0.02, 2.86±0.39,3.95±0.28, 4.02±0.02, 4.33±0.59 ",Data extracted from Table S7.,NA
,LR,FW_048,S_025,,marine,"Beibu Gulf, China",,,21°42′ N,108°36′ E,Latitude and longitude extracted from Google Maps.,21.7°,108.6°,fish and other species,37,Thryssa mysiax,Gangetic anchovy,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.31±0.03, 3.47±0.03, 3.71±0.04, 3.51±0.03, 3.40±0.07, 2.64±0.04, 3.02±0.06, 2.94±0.04, 2.92±0.02, 3.46±0.03, 2.04±0.05, 3.45±0.01, 3.32±0.12, 1.93±0.14, 2.83±0.01, 3.12±0.09, 1.89±0.02, 3.48±0.02, 2.83±0.16, 3.63±0.03, 2.3±0.31, 2.38±0.09, 3.24±0.06, 3.22±0.01, 2.54±0.07, 3.63±0.12, 3.6±0.04, 3.75±0.09, 2.98±0.03, 3.89±0.07, 3.77±0.04, 3.57±0.05, 3.26±0.07, 3.28±0.07, 3.06±0.07, 3.48±0.06, 2.5±0.07 ",Data extracted from Table S2.,NA
,LR,FW_049,S_026,,estuarine,"Yangtze River, China",,,31°41' N,121°14' E,Latitude and longitude extracted from Google Maps.,31.6833°,121.2333°,fish and other species,26,Trichiurus lepturus,NA,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.66, 3.49, 3.45, 3.45, 3.14, 2.72, 3.77, 3.56, 2.37, 3.31, 3.11, 2.93, 3.09, 2.99, 3.35, 3.02, 2.98, 3.39, 2.66, 2.52, 2.84, 2.96, 2.77, 1.58, 2.07, 2",Data extracted from Table S2.,NA
,LR,FW_050,S_027,,marine,"Bohai Sea, China",,,38.8495° N,119.7889° E,Latitude and longitude extracted from Google Maps.,38.8495°,119.7889°,fish and other species,14,Hexagrammos otakii ,Greenling,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.9, 3, 3.2, 3.2, 2.7, 2.5, 2.7, 3, 2.1, 1.9, 1.9, 2.1, 1.3, 1.7, 1.5, 1.2, 1.1, 1.4, 1.8, 1.5",Data extracted from Table S1.,"2012, Dalian."
,LR,FW_051,S_027,,marine,"Bohai Sea, China",,,38.8495° N,119.7889° E,Latitude and longitude extracted from Google Maps.,38.8495°,119.7889°,fish and other species,15,Hexagrammos otakii ,Greenling,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.9, 3.0, 3.2, 3.2, 2.7, 2.5, 2.7, 3, 1.3, 1.7, 2.1, 2, 2.1, 2.4, 1.9, 1.9, 1.8, 1.8, 2.4, 1.9, 1.9, 1.7, 1.7, 1.9, 1.8, 2.1, 2, 2, 2.8, 2.5, 1.3, 1.5, 1.5, 2, 1.9, 1.7, 2.4, 2, 1.5, 1.1, 1.2, 1.4, 1.8, 1.5",Data extracted from Table S1.,"2012, all locations."
,LR,FW_052,S_027,,marine,"Bohai Sea, China",,,38.8495° N,119.7889° E,Latitude and longitude extracted from Google Maps.,38.8495°,119.7889°,fish and other species,13,Hexagrammos otakii ,Greenling,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.1, 3.1, 3.4, 3, 3.4, 2.9, 3, 3, 3, 3.1, 2.9, 2.8, 3, 2.7, 2.7, 2.7, 2.3, 2.2, 2.6, 3.1, 3.6, 3.1, 2.9, 2.8, 2.9, 2.7, 2.6, 2.2, 1.5, 2.2, 1.6, 2.7, 2.9, 3",Data extracted from Table S1.,"2013, all locations."
,LR,FW_053,S_027,,marine,"Bohai Sea, China",,,38.8495° N,119.7889° E,Latitude and longitude extracted from Google Maps.,38.8495°,119.7889°,fish and other species,7,Rapana venosa,Veined Rapa Whelk,Mollusk (gastropod),"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.1, 2.3, 2.5, 2.5, 2.3, 2.1, 2.3, 2.3, 2.2, 2.3, 2.2, 2.3, 1.8, 1.8, 2.3, 2.1, 1.9, 1.5, 2.7, 1.9, 1.4, 2.5, 1.9, 2.1, 2.1, 1.9, 2.1",Data extracted from Table S1.,"2014, all locations."
