Initials_double_checker,Initials_data_extraction,Study_ID,Author_year,Note,Rd_ext,Rd_ext_done,Lm_done,Title,DOI,Journal,Study_design,Undetected_strategy_LOD,Undetected_strategy_LOD_comment,Undetected_strategy_LOQ,Undetected_strategy_LOQ_comment,Censored_data_strategy,TEF,TEF_unit_of_measurement,TEF_comment,TL_calculation_baseline,IFF,Linear_regression_formula,Linear_regression_formula_comment,Aggregation,Aggregation_comment,,,Study_comment
,LR,S_011,Simonnet-Laprade_2019,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Biomagnification of perfluoroalkyl acids (PFAAs) in the food web of an urban river: Assessment of the trophic transfer of targeted and unknown precursors and implications.,10.1039/C9EM00322C,Environmental Science: Processes & Impacts,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.4,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_012,Miranda_2021,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Bioaccumulation of per‐ and polyfluoroalkyl substances (PFASs) in a tropical estuarine food web.,10.1016/j.scitotenv.2020.142146,Science of the Total Environment,Observational. Field study.,imputation: Generalized Reduced Grdient algorithm in the Solver add-in feature of Microsoft Excel,"""Concentrations below the LOD (i.e. non-detected data) were imputed as follows: after ln-transformation, the data were fit to a cumulative normal distribution using a Generalized Reduced Gradient algorithm in the Solver add-in feature of Microsoft Excel.""",not provided,The study does not provide this information.,Imputation method,2.3,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_013,Martin_2004,Raw data extracted from plots (Figure 3). Slope and error were calculated through regression analysis.,Yes,Yes,Yes,Perfluoroalkyl contaminants in a food web from Lake Ontario.,10.1021/es049331s,Environmental Science & Technology,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.8,‰,NA,1,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_014,Xu_2014,It provides slope and p-value.,No,NA,NA,Bioaccumulation and trophic transfer of perfluorinated compounds in a eutrophic freshwater food web.,10.1016/j.envpol.2013.09.011,Environmental Pollution,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.8,‰,NA,2 for zooplankton and fish and 3 for bird species.,No for zooplankton and fish. Yes for bird species.,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_015,Zhang_2015,It provides slope and p-value.,No,NA,NA,"Isomer‐specific trophic transfer of perfluorocarboxylic acids in the marine food web of Liaodong Bay, North China.",10.1021/es504445x,Environmental Science & Technology,Observational. Field study.,the limit value divided by two,"""For those results lower than the MDL, half of the MDL was assigned.""",not provided,The study does not provide this information.,The MDL value divided by two,3.8,‰,NA,2 for aquatic organisms and 3 for seabird species.,No for aquatic organisms. Yes for bird species.,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_016,Chen_2018,It provides slope and p-value.,No,NA,NA,"Distribution, bioaccumulation and trophic transfer of chlorinated polyfluoroalkyl ether sulfonic acids in the marine food web of Bohai, China.",10.1016/j.envpol.2018.05.087,Environmental Pollution,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.8,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_017,Liu_2018,"It only provides the slope value. However, it provides regression plots for some of the compounds. We extracted raw data from plots (Figure 4). Slope and error were calculated through regression analysis for some of the compounds.",Yes,Yes,Yes,"Residues, bioaccumulations and biomagnification of perfluoroalkyl acids (PFAAs) in aquatic animals from Lake Chaohu, China.",10.1016/j.envpol.2018.05.001,Environmental Pollution,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.3,‰,NA,1,Yes,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_018,Penland_2020,It only provides slope values.,No,NA,NA,Trophodynamics of per‐ and polyfluoroalkyl substances in the food web of a large Atlantic Slope River.,10.1021/acs.est.9b05007,Environmental Science & Technology,Observational. Field study.,the limit value divided by two,"""For statistical analysis purposes, when concentrations were less than the LOD, we inserted a value that was half that of the LOD (0.025 ng/g or 0.025 ng/L).""",excluded from mean calculations,"""Values <LOQ were not included in calculation of means""",Zero for values < LOQ. The LOD value divided by two for values < LOD.,3.4,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,Yes,"Insects, crayfish, and mollusks species aggregated",,,NA
,LR,S_019,Gao_2020,It provides slope and p-value for statistically significant regressions. We extracted raw data from plots (Figure 4). Slope and error were calculated through regression analysis.,Yes,Yes,Yes,Occurrence and trophic transfer of per‐ and polyfluoroalkyl substances in an Antarctic ecosystem.,10.1016/j.envpol.2019.113383,Environmental Pollution,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.3,‰,NA,1,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_020,Langberg_2020,It provides slope and p-value.,No,NA,NA,Fluorinated precursor compounds in sediments as a source of perfluorinated alkyl acids (PFAA) to biota.,10.1021/acs.est.0c04587,Environmental Science & Technology,Observational. Field study.,not provided,The study does not provide this information.,the limit value divided by two,""" Concentrations below the LOQ were assigned values of half the LOQ unless otherwise stated.""",The LOQ value divided by two,NA,NA,NA,NA,NA,NA,NA,No,NA,,,NA
,LR,S_021,Chen_2018,"It provides slope and p-value. However, it provides regression plots. We extracted raw data from plots (Figure 4). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,"Occurrence, partitioning and bioaccumulation of emerging and legacy per- and polyfluoroalkyl substances in Taihu Lake, China",10.1007/s00128-012-0745-1,Science of the Total Environment,Observational. Field study.,zero,"""For statistical purpose, concentrations lower than MDLs were replaced with MDLs divided by 2, while those not detected in the samples were reported as n.d (not detected) and zero was assigned.""",the limit value divided by two,"""For statistical purpose, concentrations lower than MDLs were replaced with MDLs divided by 2, while those not detected in the samples were reported as n.d (not detected) and zero was assigned.""",Zero for undetected. The MDL value divided by two for values < MDL.,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_022,Wang_2020,It provides slope and p-value.,No,NA,NA,Managing health risks of perfluoroalkyl acids in aquatic food from a riverestuary‐ sea environment affected by fluorochemical industry.,10.1016/j.envint.2020.105621,Environment international,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_023,Du_2021,"It provides slope and p-value. However, it provides regression plots. We extracted raw data from plots (Figure 5). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,"Bioaccumulation, trophic transfer and biomagnification of perfluoroalkyl acids (PFAAs) in the marine food web of the South China Sea.",10.1016/j.jhazmat.2020.124681,Journal of Hazardous Materials,Observational. Field study.,the limit value divided by the square root of two,"""In the statistical analysis, all values lower than LOD were specified as LOD/ sqrt(2)""",the limit value divided by two,"""in the case of concentrations lower than LOQ, the value of  LOQ/2 was used""",The LOD value divided by the square root of two for values < LOD. The LOQ value divided by two for values < LOQ.,3.8,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_024,Li_2021,"It provides slope and p-value. However, it provides regression plots. We extracted raw data from plots (Figure 4, Figure S7, Figure S8) using Webplot Digitiser. Slope and error were calculated through regression analysis.",Yes,Yes,Yes,First report on the bioaccumulation and trophic transfer of perfluoroalkyl ether carboxylic acids in estuarine food web.,10.1021/acs.est.1c00965,Environmental Science & Technology,Observational. Field study.,exclusion,"""The above statistical calculation was processed for PFAS with detection frequencies of >50% and if the PFAS concentration was below the LOQ (limits of quantification), the value of LOQ/2 was used in the calculation.""",the limit value divided by two,The study does not provide this information.,Exclusion of values < LOD. The LOQ value divided by two for values < LOQ.,3.8,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_025,Pan_2021,"It provides slope and p-value. It also provides regression plots for 2 compounds out of 10 (Figure 5). For these two compounds, slope and error were calculated through regression analysis.",Yes,Yes,Yes,"Legacy and alternative per‐ and polyfluoroalkyl substances in a subtropical marine food web from the Beibu Gulf, South China: Fate, trophic transfer and health risk assessment.",10.1016/j.jhazmat.2020.123618,Journal of Hazardous Materials,Observational. Field study.,zero,"""PFASs concentrations below LOD were treated as zero, levels between LOD and LOQ were given a value of LOQ/2.""",the limit value divided by two,"""PFASs concentrations below LOD were treated as zero, levels between LOD and LOQ were given a value of LOQ/2.""",Zero for values < LOD. The LOQ value divided by two for values < LOQ.,3.8,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_026,Du_2024,It provides slope and p-value.,No,NA,NA,Biomagnification and health risks of perflfluoroalkyl acids (PFAAs) in seafood from the Yangtze river estuary of China,10.1016/j.envpol.2023.122930,Environmental Pollution,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_027,Liu_2017,It provides slope and standard error.,No,NA,NA,"Chlorinated polyfluoroalkyl ether sulfonic acids in marine organisms from Bohai Sea, China: occurrence, temporal variations, and trophic transfer behavior",10.1021/acs.est.6b06593,Environmental Science & Technology,Observational. Field study.,three methods comparison,"""To avoid the biased regression results, maximum likelihood estimation (MLE), and substitution nondetectable data with the values of half MDLs and those generated by Regression on Order Statistics (ROS) were performed for TMF calculation, and the results were compared.""",not provided,The study does not provide this information.,Three method comparison,3.8,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_028,Huang_2022,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Trophic magnification of short-chain per-and polyfluoroalkyl substances in a terrestrial food chain from the Tibetan Plateau,10.1021/acs.estlett.1c01009,Environmental Science & Technology,Observational. Field study.,the limit value divided by two,"""Concentrations below MDL were assigned to MDL/2 to  calculate the mean concentrations.""",not provided,The study does not provide this information.,The MDL value divided by two,3.4,‰,NA,1,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_029,Müller_2011,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Biomagnification of perfluorinated compounds in a remote terrestrial food chain: lichen–caribou–wolf,10.1021/es201353v,Environmental Science & Technology,Observational. Field study.,the limit value divided by two,"""When average concentrations were below MDL, they were substituted with MDL/2""",not provided,The study does not provide this information.,The MDL value divided by two,3.8,‰,NA,1,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_030,Fu_2022,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Comprehensive screening of polar emerging organic contaminants including PFASs and evaluation of the trophic transfer behavior in a freshwater food web,10.1016/j.watres.2022.118514,Water Research,Observational. Field study.,not provided,The study does not provide this information.,the limit value divided by two,"""For compounds with no detection or below LOQ, half of the LOQ was taken for the TMF calculation."" From Table S23.",The LOQ value divided by two,2.3,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_031,Xiong_2021,It provides slope and standard error of the antilog of the slope. We calculated the slopes' standard error using Taylor's expantion method.,No,NA,NA,"Bioaccumulation and Biomagnification of Perfluoroalkyl Substances (PFAS) in a Subarctic Ringed Seal Food Web in Lake Melville, Northern Labrador, Canada",Thesis,NA,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.4; 2.4,‰,"""the trophic enrichment factor was assigned to 3.4‰ for invertebrates and fish and 2.4‰ for ringed seals.""",2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,Thesis. Downloaded from https://hdl.handle.net/1807/108611
,LR,S_032,Hedgespeth_2023,It provides slope and p-value.,No,NA,NA,Ecological characteristics impact PFAS concentrations in a US North Atlantic food web,10.1016/j.scitotenv.2023.163302,Science of the Total Environment,Observational. Field study.,censored,"""data below method detection limits were treated as censored"" from Table 3",not provided,The study does not provide this information.,Exclusion of data if values were < MDL.,2.9; 3.0; 3.2,‰,"""δ15NEnrichment is the constant nitrogen isotopic enrichment (‰) per trophic level (also known as “trophic fractionation”), which varied between 2.9 and 3.5 per sample depending on the taxon (fish, squid, crustacean, or bivalve) and tissue-type (muscle or whole body; SI Table 5)""",2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_033,Wang_2022,It provides slope and CIs for only statistically significant compounds. It only provides slope and p-value for all others.,No,NA,NA,Biomanipulation impacts on per-and polyfluoroalkyl substances accumulation and trophic transfer in an eutrophic lake,10.1016/j.envint.2021.107057,Environment international,Observational and biomanipulation. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_034,Kosfeld_2021,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Food web on ice: A pragmatic approach to investigate the trophic magnification of chemicals of concern,10.1186/s12302-021-00530-x,Environmental Sciences Europe,Observational. Field study.,not provided,The study does not provide this information.,the limit value divided by two,"""In case that a substance could not be quantifed in a sample at concentrations>LOQ, it was substituted by a default concentration of ½ LOQ value.""",The LOQ value divided by two,2.3,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_035,Ren_2022,"It provides slope and standard error for most of the slopes. It does not provide standard error for regressions in the Port Austin food web. However, it provides regression plots for slopes that does not report the standard error. We extracted raw data from plots (Figure S5). Slope and error were calculated through regression analysis.",Yes,Yes,Yes,Bioaccumulation of polyfluoroalkyl substances in the Lake Huron aquatic food web,10.1016/j.scitotenv.2022.152974,Science of the Total Environment,Observational. Field study.,random numbers between 0 and the limit,"""the PFAS and/or FA values below the respective MDL values were replaced by a random value between 0 and the MDL for the quantification of PFAS biomagnification""",not provided,The study does not provide this information.,Random numbers between 0 and the LOD value,3.8,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_036,Munoz_2022,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Bioaccumulation and trophic magnification of emerging and legacy per- and polyfluoroalkyl substances (PFAS) in a St. Lawrence River food web,10.1016/j.envpol.2022.119739,Environmental Pollution,Observational. Field study.,models accounting for values below the limit,"""Different regression approaches were tested, representing models previously used in TMF literature: parametric linear regression on all datapoints or on geomeans per taxa (balanced method) (Li et al. 2021; Madgett et al. 2021), nonparametric linear regression and nonparametric linear regression accounting for <LOD data (Munoz et al. 2017; Simonnet-Laprade et al. 2019), and generalized linear mixed-effect model also accounting for <LOD data (Munoz et al. 2017; Simonnet-Laprade et al. 2019).""",not provided,The study does not provide this information.,Models accounting for values below the LOD.,3.8,‰,NA,1,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_037,Zhu_2024,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,"Sediment-seawater partitioning, bioaccumulation, and biomagnification of perfluorobutane sulfonamide in marine environment",10.1016/j.watres.2024.121466,Water Research,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_038,Cheng_2022,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Bioaccumulation and biomagnification of emerging poly-and perfluoroalkyl substances in marine organisms,10.1016/j.scitotenv.2022.158117,Science of the Total Environment,Observational. Field study.,the limit value divided by the square root of two,"""PFAS concentrations lower than LOD were replaced with LOD/√2 in statistical analysis""",not provided,The study does not provide this information.,The LOD value divided by the square root of two,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_039,Wang_2023,It provides slope and p-value.,No,NA,NA,"Legacy and Emerging Per- and Polyfluoroalkyl Substances in a Subtropical Marine Food Web: Suspect Screening, Isomer Profile, and Identification of Analytical Interference",10.1021/acs.est.3c00374,Environmental Science & Technology,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_040,Alfaro_Garcia_2018,It provides slope and standard error of the antilog of the slope. We calculated the slopes' standard error using Taylor's expantion method.,No,NA,NA,PFAS bioaccumulation in Antarctic breeding south polar skua (Catharacta maccormicki) and its prey items ,Thesis,NA,Observational. Field study.,exclusion of adata,"""Some substances gave a few detections above the limit, and the rest were <LOD. In these cases, we decided to set a limit of frequency of detection to 70%, meaning that at least 70% of the data of a given PFAS had to be above the detection limit to be included in the statistical analysis. We chose to do so because we considered that a 70% of detections over the limit gave us enough of an interval to infer the distribution and the most likely values to correspond to the <LODs, and that such limit was flexible enough to include as many PFAS as possible in the subsequent statistical analysis. Therefore, we excluded 15 PFAS congeners of the 22 analysed in the present study. """,not provided,The study does not provide this information.,Exclusion of data if values were < LOD.,2.4; 3.3,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_041,Chu_2022,It provides slope and p-value.,No,NA,NA,"Perfluoroalkyl acids (PFAAs) in the aquatic food web of a temperate urban lake in East China: Bioaccumulation, biomagnification, and probabilistic human health risk",10.1016/j.envpol.2021.118748,Environmental Pollution,Observational. Field study.,not provided,The study does not provide this information.,not provided,The study does not provide this information.,Not provided,3.8,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_042,Haukas_2007,It provides slope and p-value.,No,NA,NA,Bioaccumulation of per- and polyfluorinated alkyl substances (PFAS) in selected species from the Barents Sea food web,10.1016/j.envpol.2006.09.021,Environmental Pollution,Observational. Field study.,the limit value divided by two,"For the compounds included in statistical analyses, half detection limit for the respective compound replaced the samples below detection limit in order to avoid missing data in the computation.",not provided,The study does not provide this information.,The LOD value divided by two,3.8,‰,NA,3,No,log[PFAS] = δ15N(slope) + intercept,NA,No,NA,,,[PFAS] regressed against nitrogen isotopes. TMF not calculated but the slope is provided.
,LR,S_043,Lescord_2015,It provides slope and p-value. We extracted the sample size from the plots (Figure SI 2-5) and we calculated the standard errors usng p-value.,No,NA,NA,Perﬂuorinated and Polyﬂuorinated Compounds in Lake Food Websfrom the Canadian High Arctic,10.1021/es5048649,Environmental Science & Technology,Observational. Field study.,random numbers between 0 and the limit divided by two,"For statistical purposes, means were only calculated when more than 50% of samples (within a lake and by sample type) were above their respective MDL. When blank-correcting data resulted innumbers ≤0, values were replaced with a random numberless than half the instrument detection limits (IDLs)",not provided,The study does not provide this information.,Random numbers between 0 and the LOD value divided by two,NA,NA,NA,NA,No,log[PFAS] = δ15N(slope) + intercept,NA,No,NA,,,[PFAS] regressed against nitrogen isotopes. TMF not calculated but the slope is provided.
,LR,S_044,Teunen_2021,It provides slope and p-value.,No,NA,NA,"PFAS accumulation in indigenous and translocated aquatic organisms from Belgium, with translation to human and ecological health risk",10.1186/s12302-021-00477-z,Environmental Sciences Europe,Observational. Field study.,not provided,The study does not provide this information.,the limit value divided by two,Concentrations below the LOQ were given a value of LOQ/2,The LOQ value divided by two,3.4,‰,NA,NA,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_045,Xie_2024,It provides slope and p-value.,No,NA,NA,Bioaccumulation and trophic transfer of per- and polyfluoroalkyl substances in a subtropical mangrove estuary food web,10.1016/j.scitotenv.2024.172094,Science of the Total Environment,Observational. Field study.,zero,"For statistical convenience, PFAS concentrations below LODs were treated as zero.",not provided,The study does not provide this information.,Zero for values < LOD,3.8,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_046,Ren_2023,It provides slope and standard error.,No,NA,NA,Bioaccumulation of perfluoroalkyl substances in the Lake Erie food web,10.1016/j.envpol.2022.120677,Environmental Pollution,Observational. Field study.,random numbers between 0 and the limit value,"The method detection limit (MDL) for PFAS and FA analysis was determined using the 40 CFR 136 Appendix B (US EPA) (Tables S6a–c), and the PFAS and/or FA values below the respective MDL values were replaced by a random value between 0 and the MDL for the quantification of PFAS biomagnification and/or FA profiling using a random number function in MATLAB 2022b.",not provided,The study does not provide this information.,Random numbers between 0 and the MDL value,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,"The study states: ""Briefly, trophic magnification factors (TMFs) were calculated using the method described by Fisk et al. (2001) "". Thus, we extracted the data from Fisk et al. (2001)"
,LR,S_047,Heimstad_2024,It provides slope and p-value. It provides regression plots (Figure S10-S12) for 3 compounds out of 11.,Yes,Yes,Yes,New insights from an eight-year study on per- and polyfluoroalkyl substances in an urban terrestrial ecosystem,10.1016/j.envpol.2024.123735,Environmental Pollution,Observational. Field study.,the limit value divided by two,Table 1's caption: LOD values were substituted with 0.5*LOD and are marked in italic.,not provided,The study does not provide this information.,The LOD value divided by two,2.4,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
