Initial_check,Initials_data_extraction,TMF_ID,FW_ID,Study_ID,PFAS_ID,Sample_type,Sample_type_comment,Biomass_conversion,Biomass_conversion_comment,Regression_type,Regression_type_comment,Conc_determ_method,Conc_determ_method_comment,Undetected_strategy_LOD,Undetected_strategy_LOQ,Censored_data_strategy,TMF_formula,TMF,TMF_lower_95CI,TMF_upper_95CI,TMF_se,TMS,TMS_lower_95CI,TMS_upper_95CI,TMS_se,TMS_calculated,TMS_se_calculated,n_samples,n_obs,n_obs_comment,tau/rho,intercept,pvalue,pvalue_adj,r,TMS_comment
,LR,TMF_011,FW_001,S_001,PFOA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,1.93,1.4,2.64,na,0.29,na,na,na,na,na,101,,,na,-0.56,8.9*10^-5,0.000089,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_012,FW_001,S_001,PFNA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,4.23,2.9,6.19,na,0.63,na,na,na,na,na,101,,,na,-1.39,1.6*10^-10,0.00000000016,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_013,FW_001,S_001,PFDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,4.81,3.31,6.99,na,0.68,na,na,na,na,na,101,,,na,-1.71,5.8*10^-12,0,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_014,FW_001,S_001,PFUnDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,4.79,3.63,6.32,na,0.68,na,na,na,na,na,101,,,na,-1.37,7.9*10^-17,0,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_015,FW_001,S_001,br-PFDoDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,2.96,2.34,3.76,na,0.47,na,na,na,na,na,101,,,na,-1.18,3.2*10^-13,0,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_016,FW_001,S_001,PFTeDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,1.97,1.5,2.6,na,0.29,na,na,na,na,na,101,,,na,-0.94,0.1,0.1,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_017,FW_001,S_001,PFOS,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,11,6.9,17.4,na,1.03,na,na,na,na,na,101,,,na,-2.24,8.4*10^-16,0,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_018,FW_001,S_001,FOSA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,lipid equivalent corrected concentrations (lw),na,not provided,not provided,na,10^slope,4.46,2.29,8.77,na,0.64,na,na,na,na,na,101,,,na,-0.95,3.5*10^-6,0.0000035,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_019,FW_002,S_001,PFHpA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,0.75,0.37,1.58,na,-0.11,na,na,na,na,na,29,,,na,1.01,0.44,0.44,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_020,FW_002,S_001,PFOA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,0.4,0.3,0.53,na,-0.4,na,na,na,na,na,29,,,na,1.23,9.7*10^-7,0.00000097,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_021,FW_002,S_001,PFNA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,0.63,0.33,1.2,na,-0.2,na,na,na,na,na,29,,,na,0.73,0.15,0.15,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_022,FW_002,S_001,PFDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,0.6,0.39,0.99,na,-0.22,na,na,na,na,na,29,,,na,0.26,0.02,0.02,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_023,FW_002,S_001,PFUnDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,1.09,0.75,1.58,na,0.04,na,na,na,na,na,29,,,na,0.04,0.6,0.6,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_024,FW_002,S_001,PFDoDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,1.01,0.71,1.44,na,0.003,na,na,na,na,na,29,,,na,0.29,0.97,0.97,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_025,FW_002,S_001,PFTeDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,0.34,0.23,0.48,na,-0.47,na,na,na,na,na,29,,,na,0.78,0.01,0.01,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_026,FW_002,S_001,PFOS,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,0.47,0.27,0.85,na,0.35,na,na,na,na,na,29,,,na,0.23,0.01,0.01,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_027,FW_002,S_001,FOSA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,lipid equivalent corrected concentrations (lw),na,not provided,not provided,na,10^slope,4.53,2.1,9.77,na,0.68,na,na,na,na,na,29,,,na,0.98,5*10^-5,0.00005,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_028,FW_003,S_002,PFNA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,9.9,5.5,14.3,na,1,0.8,1.2,na,na,na,26,,,na,-2.1,< 0.05,0.05,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_029,FW_003,S_002,PFDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,5.7,4.2,7.2,na,0.8,0.6,0.9,na,na,na,26,,,na,-2.2,< 0.05,0.05,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_030,FW_003,S_002,PFUnDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,2.6,2.3,2.9,na,0.4,0.4,0.5,na,na,na,26,,,na,0.3,< 0.05,0.05,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_031,FW_003,S_002,PFDoDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,1.4,0.8,2,na,0.1,-0.1,0.3,na,na,na,26,,,na,-0.7,> 0.05,na,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_032,FW_003,S_002,PFTrDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,0.9,0.8,1,na,0,-0.1,0,na,na,na,26,,,na,1.7,> 0.05,na,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_033,FW_003,S_002,PFTeDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,1.9,1.5,2.3,na,0.3,0.2,0.4,na,na,na,26,,,na,-0.7,< 0.05,0.05,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_034,FW_003,S_002,PFHxS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,1.5,1.3,1.7,na,0.2,0.1,0.2,na,na,na,26,,,na,-1.7,< 0.05,0.05,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_035,FW_003,S_002,PFHpS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,0.6,0.6,0.7,na,-0.2,-0.2,-0.2,na,na,na,26,,,na,-1,< 0.05,0.05,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_036,FW_003,S_002,l-PFOS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,0.81,0.72,0.9,na,-0.1,-0.1,0,na,na,na,26,,,na,0.8,> 0.05,na,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_037,FW_003,S_002,br-PFOS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,1.4,0.9,1.9,na,0.2,0,0.3,na,na,na,26,,,na,-1.1,< 0.05,0.05,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_038,FW_003,S_002,PFOS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,2.4,0.9,3.9,na,0.4,0.1,0.7,na,na,na,26,,,na,-0.7,< 0.05,0.05,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_039,FW_003,S_002,PFDS,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,0.14,0.08,0.19,na,-0.1,-0.3,0.1,na,na,na,26,,,na,-1.1,> 0.05,na,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_040,FW_003,S_002,6:2 FTSA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,0.1,0.1,0.2,na,-0.9,-1,-0.7,na,na,na,26,,,na,1.7,< 0.05,0.05,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_041,FW_003,S_002,FOSA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,1.3,1.2,1.5,na,0.1,0.1,0.2,na,na,na,26,,,na,-0.5,< 0.05,0.05,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_042,FW_003,S_002,NMeFOSAA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,1.2,0.85,1.5,na,0.1,-0.05,0.2,na,na,na,26,,,na,-1.3,> 0.05,na,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_043,FW_003,S_002,NEtFOSAA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,na,na,na,na,na,na,na,na,na,na,26,,,na,na,na,na,na,detection frequency <40%
,LR,TMF_044,FW_004,S_002,PFOA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,na,na,na,na,na,na,na,na,na,na,19,,,na,na,na,na,na,detection frequency <40%
,LR,TMF_045,FW_004,S_002,PFNA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,1.4,-0.9,3.7,na,0.1,-0.6,0.9,na,na,na,19,,,na,-1.9,na,na,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_046,FW_004,S_002,PFDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,10.9,3.6,32.8,na,1,0.6,1.5,na,na,na,19,,,na,-3.7,na,na,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_047,FW_004,S_002,PFUnDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,4.2,2.7,6.6,na,0.6,0.4,0.8,na,na,na,19,,,na,-2.2,na,na,na,Data extracted from Tables S17-21. SE calculated from CIs.
,LR,TMF_048,FW_004,S_002,PFDoDA,whole-organisms only,"See ""Biomass_conversion_comment"" column",yes,"""PFASs were analyzed in dissected and whole fish from sites 3, 4 and 5, and only in the fillet of fish from sites 1 and 2. For the latter, PFAS concentrations in whole fish (PFASWB) were estimated from concentrations in fillet multiplied by a fillet-to-whole-body conversion factor as suggested by Kidd et al. (2019) and the European Commission (EU, 2014) (procedure detailed in SI 3.2.2).""",Linear regression,GLMM lmec function,wet weight concentrations (ww),na,The limit value divided by two,not provided,The limit value divided by two,10^slope,2.1,0.9,3.3,na,0.3,0.1,0.6,na,na,na,19,,,na,-1.4,na,na,na,Data extracted from Tables S17-21. SE calculated from CIs.
